class,precision,recall,f1-score,support,crop
accuracy,0.9649805447470816,0.9649805447470816,0.9649805447470816,0.9649805447470816,corn
macro avg,0.955330756990225,0.9402256379938908,0.9465686292676224,771,corn
weighted avg,0.9652585822329034,0.9649805447470816,0.964396394924276,771,corn
accuracy,0.9908256880733946,0.9908256880733946,0.9908256880733946,0.9908256880733946,cotton
macro avg,0.9925373134328358,0.9883720930232558,0.9903582485625828,109,cotton
weighted avg,0.9909626181021498,0.9908256880733946,0.9908062114271108,109,cotton
accuracy,0.9837587006960556,0.9837587006960556,0.9837587006960556,0.9837587006960556,potato
macro avg,0.978596657518226,0.9447867762128324,0.9603340061785104,431,potato
weighted avg,0.9836007770189564,0.9837587006960556,0.9833545615012744,431,potato
accuracy,0.9431818181818182,0.9431818181818182,0.9431818181818182,0.9431818181818182,rice
macro avg,0.9442625931987636,0.9431818181818182,0.9428523745100396,528,rice
weighted avg,0.9442625931987634,0.9431818181818182,0.9428523745100396,528,rice
accuracy,0.8297029702970297,0.8297029702970297,0.8297029702970297,0.8297029702970297,sugarcane
macro avg,0.8338170484646845,0.8307683026130478,0.8286756693750839,505,sugarcane
weighted avg,0.8388349145413647,0.8297029702970297,0.830738990015741,505,sugarcane
accuracy,0.9378531073446328,0.9378531073446328,0.9378531073446328,0.9378531073446328,tea
macro avg,0.9421135699096226,0.9385281385281384,0.9384051443293088,177,tea
weighted avg,0.9418202993359104,0.9378531073446328,0.9380835948414028,177,tea
accuracy,0.89,0.89,0.89,0.89,wheat
macro avg,0.8993691602387254,0.89,0.879714577383861,300,wheat
weighted avg,0.8993691602387255,0.89,0.879714577383861,300,wheat
