...1,precision,recall,f1-score,support,crop
Corn___Common_Rust,1,0.996078431372549,0.9980353634577604,255,corn
Corn___Gray_Leaf_Spot,0.9156626506024096,0.8,0.8539325842696629,95,corn
Corn___Healthy,1,1,1,222,corn
Corn___Northern_Leaf_Blight,0.9056603773584906,0.964824120603015,0.9343065693430656,199,corn
accuracy,0.9649805447470816,0.9649805447470816,0.9649805447470816,0.9649805447470816,corn
macro avg,0.955330756990225,0.9402256379938908,0.9465686292676224,771,corn
weighted avg,0.9652585822329034,0.9649805447470816,0.964396394924276,771,corn
diseased cotton leaf,1,0.9767441860465116,0.9882352941176472,43,cotton
fresh cotton leaf,0.9850746268656716,1,0.9924812030075189,66,cotton
accuracy,0.9908256880733946,0.9908256880733946,0.9908256880733946,0.9908256880733946,cotton
macro avg,0.9925373134328358,0.9883720930232558,0.9903582485625828,109,cotton
weighted avg,0.9909626181021498,0.9908256880733946,0.9908062114271108,109,cotton
Potato___Early_Blight,0.9946524064171124,1,0.9973190348525468,186,potato
Potato___Healthy,0.9642857142857144,0.84375,0.9,32,potato
Potato___Late_Blight,0.976851851851852,0.9906103286384976,0.9836829836829836,213,potato
accuracy,0.9837587006960556,0.9837587006960556,0.9837587006960556,0.9837587006960556,potato
macro avg,0.978596657518226,0.9447867762128324,0.9603340061785104,431,potato
weighted avg,0.9836007770189564,0.9837587006960556,0.9833545615012744,431,potato
bacterial_leaf_blight,1,1,1,88,rice
brown_spot,0.8617021276595744,0.9204545454545454,0.8901098901098901,88,rice
healthy,0.8936170212765957,0.9545454545454546,0.9230769230769232,88,rice
leaf_blast,0.9102564102564102,0.8068181818181818,0.8554216867469879,88,rice
leaf_scald,1,1,1,88,rice
narrow_brown_spot,1,0.9772727272727272,0.9885057471264368,88,rice
accuracy,0.9431818181818182,0.9431818181818182,0.9431818181818182,0.9431818181818182,rice
macro avg,0.9442625931987636,0.9431818181818182,0.9428523745100396,528,rice
weighted avg,0.9442625931987634,0.9431818181818182,0.9428523745100396,528,rice
Healthy,0.8828828828828829,0.8672566371681416,0.875,113,sugarcane
Mosaic,0.7777777777777778,0.813953488372093,0.7954545454545454,86,sugarcane
RedRot,0.7203389830508474,0.9042553191489362,0.8018867924528302,94,sugarcane
Rust,0.967032967032967,0.8461538461538461,0.9025641025641026,104,sugarcane
Yellow,0.8210526315789474,0.7222222222222222,0.7684729064039408,108,sugarcane
accuracy,0.8297029702970297,0.8297029702970297,0.8297029702970297,0.8297029702970297,sugarcane
macro avg,0.8338170484646845,0.8307683026130478,0.8286756693750839,505,sugarcane
weighted avg,0.8388349145413647,0.8297029702970297,0.830738990015741,505,sugarcane
Anthracnose,1,0.9,0.9473684210526316,20,tea
algal leaf,0.9444444444444444,0.8095238095238095,0.8717948717948718,21,tea
bird eye spot,1,1,1,14,tea
brown blight,0.7916666666666666,0.9047619047619048,0.8444444444444444,21,tea
gray light,0.8947368421052632,1,0.9444444444444444,17,tea
healthy,1,0.9545454545454546,0.9767441860465116,22,tea
red leaf spot,0.9666666666666668,1,0.9830508474576272,29,tea
white spot,0.9393939393939394,0.9393939393939394,0.9393939393939394,33,tea
accuracy,0.9378531073446328,0.9378531073446328,0.9378531073446328,0.9378531073446328,tea
macro avg,0.9421135699096226,0.9385281385281384,0.9384051443293088,177,tea
weighted avg,0.9418202993359104,0.9378531073446328,0.9380835948414028,177,tea
Aphid,0.95,0.95,0.95,20,wheat
Black_Rust,0.9444444444444444,0.85,0.8947368421052632,20,wheat
Blast,1,1,1,20,wheat
Brown_Rust,1,0.9,0.9473684210526316,20,wheat
Common_Root_Rot,1,1,1,20,wheat
Fusarium_Head_Blight,1,0.9,0.9473684210526316,20,wheat
Healthy,0.6,0.15,0.24,20,wheat
Leaf_Blight,0.8181818181818182,0.9,0.8571428571428571,20,wheat
Mildew,0.9523809523809524,1,0.975609756097561,20,wheat
Mite,1,0.85,0.918918918918919,20,wheat
Septoria,0.95,0.95,0.95,20,wheat
Smut,0.9523809523809524,1,0.975609756097561,20,wheat
Stem_fly,1,1,1,20,wheat
Tan_spot,0.782608695652174,0.9,0.8372093023255814,20,wheat
Yellow_Rust,0.5405405405405406,1,0.7017543859649122,20,wheat
accuracy,0.89,0.89,0.89,0.89,wheat
macro avg,0.8993691602387254,0.89,0.879714577383861,300,wheat
weighted avg,0.8993691602387255,0.89,0.879714577383861,300,wheat
